title_clean,year,grade
AFTER THE SUNSET,2004,B
AGAINST THE ROPES,2004,B
"AGE OF ADALINE, THE",2015,A-
"AGE OF INNOCENCE, THE",1993,B+
AGENT CODY BANKS,2003,A-
AGENT CODY BANKS 2: DESTINATION LONDON,2004,B+
AIR AMERICA,1990,B
AIR BUD,1997,A
AIR BUD 2 GOLDEN RECEIVER,1998,A-
AIR FORCE ONE,1997,A
"AIR UP THERE, THE",1993,A-
AIRHEADS,1994,B-
AKEELAH AND THE BEE,2006,A+
ALADDIN,1992,A+
ALADDIN,2019,A
"ALAMO, THE",2004,B
ALEX AND EMMA,2003,B-
ALEX CROSS,2012,A
ALEXANDER,2004,D+
"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD...",2014,A-
ALFIE,2004,C+
ALI,2001,B+
ALICE,1990,A-
ALICE IN WONDERLAND,2010,A-
ALICE THROUGH THE LOOKING GLASS,2016,A-
ALIEN 3,1992,C
ALIEN NATION,1988,B
ALIEN RESURRECTION,1997,B-
ALIEN VS. PREDATOR,2004,B
ALIEN VS. PREDATOR: REQUIEM,2007,C
ALIEN: COVENANT,2017,B
ALIENS,1986,A
ALIENS IN THE ATTIC,2009,B+
ALITA: BATTLE ANGEL,2019,A-
ALIVE,1993,A-
ALL ABOUT STEVE,2009,C+
ALL ABOUT THE BENJAMINS,2002,A-
ALL EYEZ ON ME,2017,A-
ALL THE KING'S MEN,2006,B-
ALL THE MONEY IN THE WORLD,2017,B
ALL THE PRETTY HORSES,2000,C+
ALLIED,2016,B
ALMOST AN ANGEL,1990,B
ALMOST CHRISTMAS,2016,A-
ALMOST FAMOUS,2000,A-
ALMOST HEROES,1998,C-
ALOHA,2015,B-
ALONE IN THE DARK,2005,F
ALONG CAME A SPIDER,2001,B+
ALONG CAME POLLY,2004,B
ALPHA,2018,B+
ALPHA AND OMEGA,2010,B
ALPHA DOG,2007,B-
ALVIN AND THE CHIPMUNKS,2007,A
ALVIN AND THE CHIPMUNKS: CHIP-WRECKED,2011,B+
ALVIN AND THE CHIPMUNKS: THE ROAD CHIP,2015,A-
ALVIN AND THE CHIPMUNKS: THE SQUEAKQUEL,2009,A
ALWAYS,1989,A-
"AMAZING SPIDER-MAN 2, THE",2014,B+
"AMAZING SPIDER-MAN, THE",2012,A-
AMERICA'S SWEETHEARTS,2001,B
AMERICAN ANTHEM,1986,B-
AMERICAN ASSASSIN,2017,B+
AMERICAN BEAUTY,1999,B+
AMERICAN DREAMZ,2006,C-
AMERICAN GANGSTER,2007,B+
AMERICAN HISTORY X,1998,A
AMERICAN HUSTLE,2013,B+
AMERICAN MADE,2017,B+
AMERICAN ME,1992,B+
AMERICAN OUTLAWS,2001,A-
AMERICAN PIE,1999,A-
AMERICAN PIE 2,2001,B+
"AMERICAN PRESIDENT, THE",1995,A
AMERICAN PSYCHO,2000,D
AMERICAN REUNION,2012,B+
AMERICAN SNIPER,2015,A+
"AMERICAN TAIL 2 FIEVEL GOES WEST, AN",1991,A-
AMERICAN ULTRA,2015,B-
AMERICAN WEDDING,2003,B+
"AMERICAN WEREWOLF IN PARIS, AN",1997,B-
"AMERICAN, THE",2010,D-
AMISTAD,1997,A-
"AMITYVILLE HORROR, THE",2005,B
AMOS AND ANDREW,1993,B-
ANACONDA,1997,B-
ANACONDAS: THE HUNT FOR THE BLOOD ORCHID,2004,B
ANALYZE THAT,2002,B
ANALYZE THIS,1999,A-
ANASTASIA,1997,A-
ANCHORMAN,2004,B
ANCHORMAN 2: THE LEGEND CONTINUES,2013,B
AND SO IT GOES,2014,B+
ANGEL EYES,2001,B-
ANGEL HEART,1987,B-
ANGELA'S ASHES,1999,B
ANGELS & DEMONS,2009,B+
ANGELS IN THE OUTFIELD,1994,A
ANGER MANAGEMENT,2003,C+
ANGIE,1994,B
"ANGRY BIRDS MOVIE, THE",2016,B+
"ANIMAL, THE",2001,B+
ANNA,2019,B+
ANNA AND THE KING,1999,A-
ANNABELLE,2014,B
ANNABELLE COMES HOME,2019,B-
ANNABELLE: CREATION,2017,B
ANNAPOLIS,2006,B+
ANNIE,2014,A-
ANNIHILATION,2018,C
ANOTHER 48 HRS.,1990,A-
ANOTHER STAKEOUT,1993,B+
ANOTHER YOU,1991,C
"ANT BULLY, THE",2006,A-
ANT-MAN,2015,A
ANT-MAN AND THE WASP,2018,A-
ANTITRUST,2001,B+
ANTWONE FISHER,2002,A+
ANTZ,1998,B+
ANY GIVEN SUNDAY,1999,B-
ANYTHING ELSE,2003,C-
ANYWHERE BUT HERE,1999,B
APOCALYPTO,2006,B+
APOLLO 13,1995,A
APOLLO 18,2011,D
"APOSTLE, THE",1997,B
APRIL FOOL'S DAY,1986,B
APT PUPIL,1998,C+
AQUAMAN,2018,A-
AQUAMARINE,2006,A-
ARACHNOPHOBIA,1990,B+
ARE WE DONE YET?,2007,B
ARE WE THERE YET?,2005,B+
ARGO,2012,A+
ARLINGTON ROAD,1999,B-
ARMAGEDDON,1998,A-
ARMED AND DANGEROUS,1986,B-
ARMORED,2009,B-
AROUND THE WORLD IN 80 DAYS,2004,B+
ARRIVAL,2016,B
"ARRIVAL, THE",1996,B-
"ART OF WAR, THE",2000,B
ARTHUR,2011,B
ARTHUR 2 ON THE ROCKS,1988,B+
ARTHUR AND THE INVISIBLES,2007,A-
ARTHUR CHRISTMAS,2011,A-
ARTICLE 99,1992,B+
"AS ABOVE, SO BELOW",2014,C-
AS GOOD AS IT GETS,1997,A-
ASPEN EXTREME,1993,B+
ASSASSIN'S CREED,2016,B+
ASSASSINS,1995,B
ASSAULT ON PRECINCT 13,2005,B
"ASSOCIATE, THE",1996,A-
"ASTRONAUT FARMER, THE",2007,B+
"ASTRONAUT'S WIFE, THE",1999,D
AT CLOSE RANGE,1986,C
AT FIRST SIGHT,1999,B+
ATL,2006,B
ATLANTIS: THE LOST EMPIRE,2001,A
ATOMIC BLONDE,2017,B
AUGUST RUSH,2007,A
AUSTIN POWERS,1997,B-
AUSTIN POWERS IN GOLDMEMBER,2002,B+
AUSTIN POWERS THE SPY WHO SHAGGED ME,1999,B+
AUSTRALIA,2008,A-
AUTUMN IN NEW YORK,2000,C+
AVALON,1990,A-
AVATAR,2009,A
"AVENGERS, THE",1998,D
AVENGERS: AGE OF ULTRON,2015,A
AVENGERS: ENDGAME,2019,A+
AVENGERS: INFINITY WAR,2018,A
"AVIATOR, THE",2004,B+
AWAKE,2007,C+
AWAKENINGS,1990,A
B.A.P.S.,1997,B
BABE PIG IN THE CITY,1998,B
"BABE, THE",1992,A-
BABEL,2006,B-
BABY BOOM,1987,B+
BABY BOY,2001,B
BABY DRIVER,2017,A-
BABY GENIUSES,1999,B-
BABY MAMA,2008,B+
BABY'S DAY OUT,1994,A
BABYLON A.D.,2008,D+
"BABYSITTER'S CLUB, THE",1995,B+
"BACHELOR, THE",1999,B-
BACK TO SCHOOL,1986,A-
BACK TO THE BEACH,1987,B-
BACK TO THE FUTURE 2,1989,A-
BACK TO THE FUTURE 3,1990,A-
"BACK-UP PLAN, THE",2010,B
BACKDRAFT,1991,A
BAD BOYS,1995,A
BAD BOYS II,2003,A
BAD COMPANY,2002,B
BAD COMPANY,1995,C
BAD DREAMS,1988,C
BAD GIRLS,1994,B-
BAD MOMS,2016,A
"BAD MOMS CHRISTMAS, A",2017,B
BAD MOON,1996,C+
"BAD NEWS BEARS, THE",2005,B
BAD SAMARITAN,2018,B-
BAD SANTA,2003,B
BAD SANTA 2,2016,C+
BAD TEACHER,2011,C+
BAD TIMES AT THE EL ROYALE,2018,B-
BAGGAGE CLAIM,2013,A-
BAIT,2000,A-
BALLISTIC: ECKS VS SEVER,2002,B-
BANDITS,2001,B
"BANGER SISTERS, THE",2002,B+
BANGKOK DANGEROUS,2008,C-
"BANK JOB, THE",2008,B+
BARBERSHOP,2002,A-
BARBERSHOP 2: BACK IN BUSINESS,2004,A-
BARBERSHOP: THE NEXT CUT,2016,A-
BARNYARD: THE ORIGINAL PARTY ANIMALS,2006,B+
BARTON FINK,1991,B
BASEKETBALL,1998,B
BASIC,2003,B
BASIC INSTINCT,1992,B+
BASIC INSTINCT 2,2006,C
BAT 21,1988,B
BATMAN,1989,A
BATMAN AND ROBIN,1997,C+
BATMAN BEGINS,2005,A
BATMAN FOREVER,1995,A-
BATMAN RETURNS,1992,B
BATMAN V SUPERMAN: DAWN OF JUSTICE,2016,B
BATTERIES NOT INCLUDED,1987,B+
BATTLE OF THE YEAR,2013,A-
BATTLE: LOS ANGELES,2011,B
BATTLEFIELD EARTH,2000,D+
BATTLESHIP,2012,B
BAYWATCH,2017,B+
BE COOL,2005,B-
"BEACH, THE",2000,C
BEACHES,1988,A
"BEAR, THE",1989,A-
BEARS,2014,A
BEASTLY,2011,B+
"BEAUTICIAN AND THE BEAST, THE",1997,B+
BEAUTIFUL,2000,B
BEAUTIFUL CREATURES,2013,B
"BEAUTIFUL MIND, A",2001,A-
BEAUTY AND THE BEAST,1991,A+
BEAUTY AND THE BEAST,2017,A
BEAUTY SHOP,2005,A-
BEAVIS AND BUTT-HEAD DO AMERICA,1996,B+
BECAUSE I SAID SO,2007,B-
BECAUSE OF WINN-DIXIE,2005,A
BED OF ROSES,1996,A-
BEDAZZLED,2000,B-
"BEDROOM WINDOW, THE",1987,B
BEDTIME STORIES,2008,B+
BEE MOVIE,2007,B+
BEERFEST,2006,B
BEETHOVEN,1992,A
BEETHOVEN'S 2ND,1993,A
BEETLEJUICE,1988,B
BEFORE AND AFTER,1996,C+
BEFORE I FALL,2017,B
BEFORE I GO TO SLEEP,2014,C+
BEFORE SUNRISE,1995,B
BEHIND ENEMY LINES,2001,B+
"BELIEVERS, THE",1987,B-
BELOVED,1998,C+
BEN-HUR,2016,A-
"BENCHWARMERS, THE",2006,B
BENNY AND JOON,1993,A
BEOWULF,2007,B-
"BEST MAN HOLIDAY, THE",2013,A+
"BEST MAN, THE",1999,A
"BEST OF ENEMIES, THE",2019,A
"BEST OF ME, THE",2014,B+
BEST OF THE BEST 2,1993,A
"BEST OF TIMES, THE",1986,B+
BEST SELLER,1987,B+
BETRAYED,1988,B-
BETSY'S WEDDING,1990,B
"BEVERLY HILLBILLIES, THE",1993,B+
BEVERLY HILLS CHIHUAHUA,2008,A
BEVERLY HILLS COP 2,1987,A-
BEVERLY HILLS COP 3,1994,B
BEVERLY HILLS NINJA,1997,B+
BEWITCHED,2005,C+
BEYOND BORDERS,2003,B+
BEYOND RANGOON,1995,B
BEYOND THE LIGHTS,2014,A
"BFG, THE",2016,A-
BICENTENNIAL MAN,1999,A-
BIG,1988,A
"BIG BOUNCE, THE",2004,D
BIG BULLY,1996,C
BIG BUSINESS,1988,A-
BIG DADDY,1999,B+
"BIG EASY, THE",1987,B
BIG FAT LIAR,2002,A-
BIG FISH,2004,B+
BIG HERO 6,2014,A
"BIG HIT, THE",1998,C-
"BIG LEBOWSKI, THE",1998,B
BIG MIRACLE,2012,A-
BIG MOMMA'S HOUSE,2000,A
BIG MOMMA'S HOUSE 2,2006,A-
"BIG MOMMAS: LIKE FATHER, LIKE SON",2011,B+
"BIG SHORT, THE",2015,A-
BIG TOP PEE WEE,1988,B
BIG TROUBLE,2002,C+
BIG TROUBLE IN LITTLE CHINA,1986,B+
"BIG WEDDING, THE",2013,C+
"BIG YEAR, THE",2011,B-
BIKER BOYZ,2003,B+
BILL AND TED'S BOGUS JOURNEY,1991,B+
BILLY BATHGATE,1991,C+
BILLY ELLIOT,2000,A-
BILLY MADISON,1995,B
BILOXI BLUES,1988,A-
BIO DOME,1996,B-
BIRD,1988,A-
BIRD ON A WIRE,1990,B+
"BIRDCAGE, THE",1996,A
"BIRTH OF A NATION, THE",2016,A
BIRTH OF THE DRAGON,2017,B
BIRTHDAY GIRL,2002,C
BLACK AND WHITE,2000,D+
"BLACK DAHLIA, THE",2006,D+
BLACK DOG,1998,C+
BLACK KNIGHT,2001,B-
BLACK MASS,2015,B
BLACK NATIVITY,2013,A-
BLACK OR WHITE,2015,A-
BLACK PANTHER,2018,A+
BLACK RAIN,1989,B+
BLACK SHEEP,1996,B+
BLACK WIDOW,1987,B-
BLACKHAT,2015,C-
BLACKHAWK DOWN,2001,A-
BLACKKKLANSMAN,2018,A-
BLADE,1998,A-
BLADE 2,2002,B+
BLADE RUNNER 2049,2017,A-
BLADE: TRINITY,2004,B+
BLADES OF GLORY,2007,B
BLAIR WITCH,2016,D+
"BLAIR WITCH PROJECT, THE",1999,C+
BLAME IT ON THE BELLBOY,1992,C+
BLANK CHECK,1994,A-
BLANKMAN,1994,B
BLAST FROM THE PAST,1999,B
BLAZE,1989,B+
BLEED FOR THIS,2016,A-
BLENDED,2014,A-
BLESS THE CHILD,2000,B
BLIND DATE,1987,B
BLIND FURY,1990,B
"BLIND SIDE, THE",2009,A+
"BLOB, THE",1988,B-
BLOCKERS,2018,B
BLOOD AND CHOCOLATE,2007,C
BLOOD AND WINE,1997,C
BLOOD DIAMOND,2006,A-
BLOOD WORK,2002,B
BLOW,2001,A-
BLOWN AWAY,1994,B
BLUE CHIPS,1994,B
BLUE CITY,1986,C
BLUE CRUSH,2002,B
BLUE STEEL,1990,B-
BLUE STREAK,1999,A
BLUE VELVET,1986,B-
BLUES BROTHERS 2000,1998,B-
BOB ROBERTS,1992,B+
BOBBY,2006,B+
BODY OF EVIDENCE,1993,C
BODY OF LIES,2008,B-
"BODYGUARD, THE",1992,B+
BOGUS,1996,B+
BOHEMIAN RHAPSODY,2018,A
BOILER ROOM,2000,C+
BOILING POINT,1993,C-
BOLT,2008,A-
"BONE COLLECTOR, THE",1999,B+
BONES,2001,C+
"BONFIRE OF THE VANITIES, THE",1990,C
BOO! A MADEA HALLOWEEN,2016,A
BOOGEYMAN,2005,C-
BOOGIE NIGHTS,1997,C
BOOK CLUB,2018,A-
"BOOK OF ELI, THE",2010,B+
"BOOK OF LIFE, THE",2014,A-
BOOK OF SHADOWS: BLAIR WITCH 2,2000,D-
BOOKSMART,2019,B+
BOOMERANG,1992,A-
BOOTY CALL,1997,B-
BORAT,2006,B+
BORDELLO OF BLOOD,1996,C+
BORN IN CHINA,2017,A-
BORN IN EAST L.A.,1987,B-
BORN ON THE FOURTH OF JULY,1989,A-
BORN YESTERDAY,1993,B+
"BORROWERS, THE",1998,B+
"BOSS BABY, THE",2017,A-
"BOSS, THE",2016,C+
BOUNCE,2000,B
"BOUNTY HUNTER, THE",2010,B-
"BOURNE IDENTITY, THE",2002,A-
"BOURNE LEGACY, THE",2012,B
"BOURNE SUPREMACY, THE",2004,A-
"BOURNE ULTIMATUM, THE",2007,A
BOWFINGER,1999,B-
"BOX, THE",2009,F
"BOXER, THE",1998,C+
"BOXTROLLS, THE",2014,B+
"BOY NEXT DOOR, THE",2015,B-
"BOY WHO COULD FLY, THE",1986,A-
"BOY, THE",2016,B-
BOYS AND GIRLS,2000,C+
BOYS ON THE SIDE,1995,A-
"BRADY BUNCH MOVIE, THE",1995,B+
BRAM STOKER'S DRACULA,1992,B-
BRATZ: THE MOVIE,2007,B+
BRAVE,2012,A
"BRAVE ONE, THE",2007,B+
BRAVEHEART,1995,A-
BREACH,2007,B+
"BREAK-UP, THE",2006,C+
BREAKDOWN,1997,B
BREAKIN' ALL THE RULES,2004,B+
BREAKING IN,2018,B
BREAKTHROUGH,2019,A
BRICK MANSIONS,2014,B+
BRIDE OF CHUCKY,1998,B
BRIDE WARS,2009,A-
BRIDESMAIDS,2011,B+
BRIDGE OF SPIES,2015,A
BRIDGE TO TERABITHIA,2007,A-
"BRIDGES OF MADISON COUNTY, THE",1995,A-
BRIDGET JONE'S BABY,2016,B+
BRIDGET JONES'S DIARY,2001,B+
BRIDGET JONES: EDGE OF REASON,2004,B+
BRIGHT LIGHTS BIG CITY,1988,C
BRIGHTBURN,2019,C+
BRIGHTON BEACH MEMOIRS,1986,B+
BRING IT ON,2000,B+
BRINGING DOWN THE HOUSE,2003,B+
BRINGING OUT THE DEAD,1999,C-
BROADCAST NEWS,1987,A-
BROKEDOWN PALACE,1999,B+
BROKEN ARROW,1996,B+
BROKEN CITY,2013,B
BROKEN LIZARD'S CLUB DREAD,2004,B
BROOKLYN'S FINEST,2010,C
BROTHER BEAR,2003,A
BROTHERS,2009,B
"BROTHERS GRIMM, THE",2005,C
"BROTHERS GRIMSBY, THE",2016,B+
"BROTHERS, THE",2001,A
BROWN SUGAR,2002,A
BRUCE ALMIGHTY,2003,A
BRUNO,2009,C
BUBBLE BOY,2001,B
"BUCKET LIST, THE",2008,A-
BUCKY LARSON: BORN TO BE A STAR,2011,B
BUDDY,1997,B
BUFFY THE VAMPIRE SLAYER,1992,B+
BUG,2007,F
"BUG'S LIFE, A",1998,A
BUGSY,1991,B
BULL DURHAM,1988,B+
BULLET TO THE HEAD,2013,B-
BULLETPROOF,1996,B
BULLETPROOF MONK,2003,B
BULLETS OVER BROADWAY,1994,B+
BULWORTH,1998,C+
BUMBLEBEE,2018,A-
"BURBS, THE",1989,C
BURGLAR,1987,B+
BURLESQUE,2010,A-
BURNT,2015,B-
BUSHWHACKED,1995,B-
"BUTCHER'S WIFE, THE",1991,B
"BUTTERFLY EFFECT, THE",2004,B+
BYE BYE LOVE,1995,B
"BYE BYE MAN, THE",2017,C
"CABIN IN THE WOODS, THE",2012,C
"CABLE GUY, THE",1996,C+
CADDYSHACK 2,1988,C+
CADILLAC MAN,1990,B-
CALENDAR GIRL,1993,C+
CALENDAR GIRLS,2004,A-
"CALL, THE",2013,B+
CAMP NOWHERE,1994,B
"CAMPAIGN, THE",2012,B-
CAN'T BUY ME LOVE,1987,A-
CAN'T HARDLY WAIT,1998,B+
"CANDYMAN, THE",1992,C+
CAPE FEAR,1991,B+
CAPTAIN AMERICA: CIVIL WAR,2016,A
CAPTAIN AMERICA: THE FIRST AVENGER,2011,A-
CAPTAIN AMERICA: THE WINTER SOLDIER,2014,A
CAPTAIN CORELLI'S MANDOLIN,2001,A-
CAPTAIN MARVEL,2019,A
CAPTAIN PHILLIPS,2013,A
CAPTAIN RON,1992,B
CAPTAIN UNDERPANTS: THE FIRST EPIC MOVIE,2017,B+
CAPTIVE STATE,2019,C-
CAREER OPPORTUNITIES,1991,C+
CARLITO'S WAY,1993,B+
CARPOOL,1996,B-
CARRIE,2013,B-
CARS,2006,A
CARS 2,2011,A-
CARS 3,2017,A
CASANOVA,2006,B
CASE 39,2010,B-
CASINO,1995,B-
CASINO ROYALE,2006,A-
CASPER,1995,A
CAST AWAY,2000,B
CASUAL SEX,1988,B-
CASUALTIES OF WAR,1989,B+
CATCH AND RELEASE,2007,B
CATCH ME IF YOU CAN,2002,A-
CATCH THAT KID,2004,A-
CATS & DOGS: THE REVENGE OF KITTY GALORE,2010,B-
CATS AND DOGS,2001,B+
CATS DON'T DANCE,1997,B
CATWOMAN,2004,B
"CAVE, THE",2005,C-
CELEBRITY,1998,C+
"CELL, THE",2000,C+
CELLULAR,2004,B+
CELTIC PRIDE,1996,B-
"CEMETERY CLUB, THE",1993,B+
CENTER STAGE,2000,A-
CENTRAL INTELLIGENCE,2016,A-
CHAIN REACTION,1996,C+
"CHAMBER, THE",1996,B+
CHANCES ARE,1989,A-
"CHANGE-UP, THE",2011,B
CHANGELING,2008,A-
CHANGING LANES,2002,B-
CHAPLIN,1992,A-
CHAPPAQUIDDICK,2018,B
CHAPPIE,2015,B
CHARLIE AND THE CHOCOLATE FACTORY,2005,A-
CHARLIE ST. CLOUD,2010,B+
CHARLIE WILSON'S WAR,2007,A-
CHARLIE'S ANGELS,2000,A-
CHARLIE'S ANGELS: FULL THROTTLE,2003,B+
CHARLOTTE'S WEB,2006,A
"CHASE, THE",1994,B-
CHASING LIBERTY,2004,B+
CHASING MAVERICKS,2012,B+
CHEAPER BY THE DOZEN,2003,A-
CHEAPER BY THE DOZEN 2,2005,A-
CHERNOBYL DIARIES,2012,D+
CHICAGO,2002,A-
CHICKEN LITTLE,2005,A-
CHICKEN RUN,2000,A-
CHILD'S PLAY,1988,B
CHILD'S PLAY,2019,C+
CHILD'S PLAY 2,1990,A-
CHILDREN OF A LESSER GOD,1986,A
CHILDREN OF MEN,2007,B-
CHILL FACTOR,1999,B-
CHIMPANZEE,2012,A
CHIPS,2017,B-
CHOCOLAT,2000,A
"CHOICE, THE",2016,B+
"CHRISTMAS CAROL, A",2009,B+
CHRISTMAS WITH THE KRANKS,2004,B
CHRISTOPHER COLUMBUS,1992,C
CHRISTOPHER ROBIN,2018,A
CHRONICLE,2012,B
"CHRONICLES OF NARNIA: LION, WITCH & WARDROBE, THE",2005,A+
"CHRONICLES OF NARNIA: PRINCE CASPIAN, THE",2008,A-
"CHRONICLES OF NARNIA: VOYAGE OF DAWN TREADER, THE",2010,A-
"CHRONICLES OF RIDDICK, THE",2004,B
"CIDER HOUSE RULES, THE",1999,A
CINDERELLA,2015,A
CINDERELLA MAN,2005,A+
"CINDERELLA STORY, A",2004,A-
"CIRCLE, THE",2017,D+
CIRQUE DU FREAK: THE VAMPIRE'S ASSISTANT,2009,B
CITY BY THE SEA,2002,B
CITY HALL,1996,B-
CITY OF ANGELS,1998,B
CITY OF EMBER,2008,B+
CITY OF JOY,1992,A-
CITY SLICKERS,1991,A
CITY SLICKERS 2,1994,A-
"CIVIL ACTION, A",1998,B
CLARA'S HEART,1988,A
CLASH OF THE TITANS,2010,B
CLASS ACTION,1991,A-
CLEAN AND SOBER,1988,B+
CLEAN SLATE,1994,B
CLEAR AND PRESENT DANGER,1994,A
CLERKS II,2006,A-
CLICK,2006,B+
"CLIENT, THE",1994,B+
CLIFFHANGER,1993,B
CLIFFORD,1994,B-
CLOCKERS,1995,B
CLOCKSTOPPERS,2002,B+
CLOSER,2004,D+
CLOUD ATLAS,2012,C+
CLOUDY WITH A CHANCE OF MEATBALLS,2009,A-
CLOUDY WITH A CHANCE OF MEATBALLS 2,2013,A-
CLOVERFIELD,2008,C
CLUB PARADISE,1986,C+
CLUELESS,1995,B+
COACH CARTER,2005,A
COBRA,1986,B
COCKTAIL,1988,B+
COCO,2017,A+
COCOON 2 THE RETURN,1988,B+
CODE NAME: THE CLEANER,2007,B
COLD CREEK MANOR,2003,C-
"COLD LIGHT OF DAY, THE",2012,D+
COLD MOUNTAIN,2003,B+
COLD PURSUIT,2019,B-
COLLATERAL,2004,B
COLLATERAL BEAUTY,2016,A-
COLLATERAL DAMAGE,2002,B
COLLEGE,2008,C+
COLLEGE ROAD TRIP,2008,A-
COLLIDE,2017,C+
COLOMBIANA,2011,A-
"COLOR OF MONEY, THE",1986,B-
COLOR OF NIGHT,1994,C
COLORS,1988,B-
COMING TO AMERICA,1988,A
"COMMITMENTS, THE",1991,A
"COMMUTER, THE",2018,B
CON AIR,1997,B+
CONAN THE BARBARIAN,2011,B-
CONCUSSION,2015,A
"CONDEMNED, THE",2007,C+
CONEHEADS,1993,B+
CONFESSIONS OF A DANGEROUS MIND,2002,C
CONFESSIONS OF A SHOPAHOLIC,2009,B
CONFESSIONS OF A TEENAGE DRAMA QUEEN,2004,B+
CONGO,1995,B
"CONJURING 2, THE",2016,A-
"CONJURING, THE",2013,A-
CONNIE AND CARLA,2004,A-
CONSENTING ADULTS,1992,B-
CONSPIRACY THEORY,1997,B+
"CONSTANT GARDENER, THE",2005,B
CONSTANTINE,2005,B
CONTACT,1997,A-
CONTAGION,2011,B-
"CONTENDER, THE",2000,B
CONTRABAND,2012,A-
COOL RUNNINGS,1993,A
COOL WORLD,1992,C
COP AND A HALF,1993,B+
COP LAND,1997,B-
COP OUT,2010,B-
COPS AND ROBBERSONS,1994,B-
COPYCAT,1995,A-
"CORE, THE",2003,B
CORKY ROMANO,2001,B+
CORRINA CORRINA,1994,A-
"CORRUPTOR, THE",1999,C+
"COUCH TRIP, THE",1988,B
"COUNSELOR, THE",2013,D
"COUNT OF MONTE CRISTO, THE",2002,A
"COUNTRY BEARS, THE",2002,A-
COUNTRY STRONG,2011,B
COUPLES RETREAT,2009,B
COURAGE UNDER FIRE,1996,A
COUSINS,1989,A-
"COVENANT, THE",2006,B-
"COWBOY WAY, THE",1994,B+
COWBOYS & ALIENS,2011,B
COYOTE UGLY,2000,A-
CRADLE 2 THE GRAVE,2003,B+
CRANK,2006,C+
CRANK: HIGH VOLTAGE,2009,C-
CRASH,2005,A-
CRAWL,2019,B
"CRAZIES, THE",2010,B-
